Code,Name,Close,MA40,Ratio,Prev_Close,Prev_MA40
207940,삼성바이오로직스,1798000.0,1737549.2,3.48,1692000.0,1734359.92
047050,포스코인터내셔널,54700.0,54292.5,0.75,53900.0,54227.5
021240,코웨이,89400.0,89077.5,0.36,86200.0,89192.5
009420,한올바이오파마,44400.0,43636.25,1.75,42550.0,43396.25
005070,코스모신소재,54800.0,52316.25,4.75,50600.0,51988.75
017960,한국카본,31400.0,31376.25,0.08,30150.0,31472.5
285130,SK케미칼,76700.0,70640.0,8.58,69700.0,70250.0
100090,SK오션플랜트,20400.0,19987.25,2.07,19940.0,19999.75
181710,NHN,31050.0,30591.25,1.5,30000.0,30470.0
137400,피엔티,42500.0,42341.25,0.37,42100.0,42345.0
036530,SNT홀딩스,61000.0,60492.5,0.84,60000.0,60680.0
095660,네오위즈,25500.0,25043.75,1.82,24050.0,25013.75
034310,NICE,13990.0,13773.75,1.57,13620.0,13762.75
484590,삼양컴텍,13770.0,13746.0,0.17,13610.0,13840.25
000320,노루홀딩스,22900.0,22852.5,0.21,22800.0,22888.75
078520,에이블씨엔씨,11650.0,9765.75,19.29,9130.0,9728.5
035150,백산,13490.0,13311.5,1.34,13310.0,13323.25
035510,신세계 I&C,17270.0,16229.25,6.41,15900.0,16217.5
461300,아이스크림미디어,17800.0,17570.75,1.3,17500.0,17573.5
234080,JW생명과학,14350.0,14127.25,1.58,13970.0,14082.75
092870,엑시콘,15380.0,15226.75,1.01,14920.0,15217.25
211270,AP위성,11680.0,11630.75,0.42,11350.0,11644.25
070960,모나용평,3615.0,3462.38,4.41,3430.0,3472.38
229500,노브메타파마,13820.0,13616.5,1.49,13610.0,13614.75
005160,동국산업,2975.0,2947.38,0.94,2940.0,2950.88
214390,경보제약,6250.0,6014.75,3.91,5890.0,6008.5
474170,루미르,8540.0,8365.0,2.09,8060.0,8382.5
264660,씨앤지하이테크,15560.0,15431.0,0.84,15420.0,15450.0
013990,아가방컴퍼니,4575.0,4567.12,0.17,4500.0,4572.62
007540,샘표,50200.0,50021.25,0.36,50000.0,50076.25
125020,티씨머티리얼즈,4035.0,3677.38,9.73,3600.0,3683.5
361390,제노코,15430.0,15389.0,0.27,15100.0,15407.0
052260,현대바이오랜드,4395.0,4392.88,0.05,4395.0,4396.5
005860,한일사료,3155.0,3154.5,0.02,3145.0,3159.88
452190,한빛레이저,5120.0,5079.5,0.8,5040.0,5073.62
019550,SBI인베스트먼트,713.0,696.98,2.3,694.0,696.4
264900,크라운제과,9050.0,9035.5,0.16,9000.0,9038.75
357230,에이치피오,2440.0,2432.75,0.3,2390.0,2438.0
011150,CJ씨푸드,2760.0,2730.62,1.08,2720.0,2730.75
008700,아남전자,1258.0,1256.72,0.1,1255.0,1257.85
111710,남화산업,4465.0,4434.75,0.68,4430.0,4439.12
311320,지오엘리먼트,7060.0,6668.75,5.87,6400.0,6676.75
014470,부방,1454.0,1415.52,2.72,1415.0,1416.65
246960,SCL사이언스,2530.0,2509.88,0.8,2510.0,2514.12
262260,에이프로,5850.0,5817.5,0.56,5730.0,5827.25
053260,금강철강,4140.0,4098.38,1.02,4105.0,4105.25
199550,레이저옵텍,6120.0,6105.0,0.25,6100.0,6123.75
393970,대진첨단소재,5530.0,5321.5,3.92,5250.0,5360.25
043910,자연과환경,630.0,625.88,0.66,625.0,626.65
052790,액토즈소프트,6200.0,6191.75,0.13,6190.0,6197.0
000910,유니온,4410.0,4368.0,0.96,4355.0,4373.75
004910,조광페인트,5100.0,5079.88,0.4,5040.0,5084.88
218150,미래생명자원,3150.0,3148.38,0.05,3115.0,3152.62
002140,고려산업,2525.0,2493.12,1.28,2490.0,2495.75
024840,KBI메탈,1768.0,1760.68,0.42,1755.0,1763.32
004870,티웨이홀딩스,500.0,471.05,6.15,470.0,471.5
363260,모비데이즈,1658.0,1648.22,0.59,1639.0,1650.62
090080,평화산업,952.0,949.18,0.3,943.0,950.02
474610,RF시스템즈,4390.0,4296.25,2.18,4255.0,4309.0
122350,삼기,1283.0,1277.72,0.41,1276.0,1278.75
066900,디에이피,1977.0,1969.08,0.4,1954.0,1970.15
360350,코셈,7340.0,7317.75,0.3,7190.0,7308.25
440320,오픈놀,4090.0,4074.62,0.38,4065.0,4083.25
387570,파인메딕스,8210.0,7896.75,3.97,7850.0,7897.5
018680,서울제약,3140.0,3069.38,2.3,3065.0,3069.62
257990,나우코스,6090.0,6060.0,0.5,6000.0,6062.0
127710,아시아경제,986.0,978.22,0.79,978.0,978.68
035200,프럼파스트,3570.0,3477.0,2.67,3455.0,3476.75
013000,세우글로벌,1181.0,1179.82,0.1,1177.0,1179.82
032750,삼진,3690.0,3679.75,0.28,3570.0,3689.12
252500,세화피앤씨,813.0,812.9,0.01,812.0,813.58
434190,탈로스,4390.0,4368.0,0.5,4180.0,4370.75
070300,엑스큐어,1349.0,1320.98,2.12,1307.0,1318.35
189860,서전기전,3180.0,3173.38,0.21,3140.0,3170.12
405920,나라셀라,2360.0,2323.38,1.58,2325.0,2326.62
016920,카스,1102.0,1098.05,0.36,1095.0,1099.62
362990,드림인사이트,1747.0,1738.68,0.48,1730.0,1741.08
024070,WISCOM,1912.0,1905.78,0.33,1904.0,1905.8
900100,애머릿지,652.0,606.7,7.47,583.0,608.98
036480,대성미생물,7290.0,7277.25,0.18,7280.0,7284.25
007120,미래아이앤지,901.0,829.22,8.66,821.0,827.05
002680,한탑,729.0,728.78,0.03,722.0,730.48
101400,엔시트론,327.0,304.68,7.33,302.0,304.48
208850,이비테크,5200.0,5143.5,1.1,5070.0,5143.25
112190,KC산업,1439.0,1433.28,0.4,1418.0,1429.92
492220,KB제31호스팩,2010.0,2006.98,0.15,2000.0,2006.85
455910,에스케이증권제9호스팩,2100.0,2096.5,0.17,2095.0,2096.12
498390,한화플러스제5호스팩,2005.0,2004.6,0.02,1999.0,2004.6
202960,판도라티비,738.0,667.02,10.64,644.0,668.25
475240,하나32호스팩,2115.0,2114.25,0.04,2105.0,2114.25
103660,씨앗,1099.0,1017.12,8.05,999.0,1017.15
448780,마이크로엔엑스,2355.0,2178.88,8.08,2140.0,2175.88
066830,제노텍,1090.0,1072.18,1.66,1069.0,1072.25
008355,남선알미우,12490.0,12288.25,1.64,12210.0,12295.0
296520,가이아코퍼레이션,806.0,755.88,6.63,701.0,759.0
011155,CJ씨푸드1우,15850.0,15752.5,0.62,15400.0,15783.75
032685,소프트센우,6150.0,6103.25,0.77,6070.0,6103.75
217320,썬테크,690.0,609.0,13.3,600.0,609.25
