Code,Name,Close,MA250,Ratio,Prev_Close,Prev_MA250
178320,서진시스템,23700.0,23081.56,2.68,21800.0,23106.96
009240,한샘,45400.0,45331.8,0.15,44850.0,45351.4
082640,동양생명,6480.0,6300.28,2.85,6260.0,6296.64
097520,엠씨넥스,25650.0,25643.4,0.03,25350.0,25614.32
338220,뷰노,22150.0,22108.2,0.19,21800.0,22120.0
095700,제넥신,5040.0,4998.46,0.83,4915.0,5004.22
010820,퍼스텍,3870.0,3824.84,1.18,3815.0,3822.98
033160,엠케이전자,7980.0,7948.92,0.39,7860.0,7944.36
003070,코오롱글로벌,9180.0,9167.56,0.14,9110.0,9174.24
008830,대동기어,18600.0,17368.56,7.09,16000.0,17327.76
064290,인텍플러스,11470.0,11381.96,0.77,11110.0,11379.64
024090,디씨엠,12290.0,12197.0,0.76,12140.0,12193.92
418420,라온텍,3842.0,3795.93,1.21,3785.0,3792.02
219130,타이거일렉,15960.0,15544.56,2.67,15450.0,15540.0
039020,이건홀딩스,4390.0,4313.14,1.78,4240.0,4309.82
041520,이엘씨,6920.0,6896.74,0.34,6830.0,6889.86
317850,대모,8720.0,8152.08,6.97,6710.0,8160.36
003010,혜인,5300.0,5186.76,2.18,5130.0,5186.36
002920,유성기업,2020.0,1994.17,1.3,1990.0,1993.89
060850,영림원소프트랩,5850.0,5842.42,0.13,5840.0,5845.26
100660,서암기계공업,3675.0,3664.82,0.28,3445.0,3665.6
024120,KB오토시스,3395.0,3391.18,0.11,3390.0,3391.28
367000,플래티어,4455.0,4375.84,1.81,4350.0,4374.88
012620,원일특강,7540.0,7525.64,0.19,7460.0,7524.68
154030,아시아종묘,2315.0,2159.05,7.22,2100.0,2158.11
191410,육일씨엔에쓰,2060.0,1703.84,20.9,1590.0,1702.19
224760,엔에스컴퍼니,3200.0,3199.72,0.01,3200.0,3200.86
185190,수프로,999.0,970.95,2.89,900.0,970.55
464440,한국제13호스팩,2120.0,2113.24,0.32,2110.0,2113.34
266470,바이오인프라생명과학,279.0,273.72,1.93,247.0,273.46
448780,마이크로엔엑스,2220.0,2215.37,0.21,2195.0,2216.03
