Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
009540,KR7009540006,HD한국조선해양,KOSPI,,418500,2,-2500,-0.59,425000,426500,415000,114388,47977234750,29618549046000,70773116,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,805000,2,-2000,-0.25,826000,833000,797000,113153,91297291500,29017943675000,36047135,STK
010130,KR7010130003,고려아연,KOSPI,,1383000,1,73000,5.57,1333000,1408000,1317000,50852,70048845000,26751732729000,19343263,STK
086790,KR7086790003,하나금융지주,KOSPI,,94100,1,1700,1.84,93300,94100,92600,477876,44721888850,26190459097400,278325814,STK
035720,KR7035720002,카카오,KOSPI,,58700,1,500,0.86,58800,59300,58300,1454365,85587874900,25970277001300,442423799,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,305000,1,2500,0.83,304500,307000,302000,177734,54176887750,24684550360000,80932952,STK
051910,KR7051910008,LG화학,KOSPI,,346000,1,7500,2.22,343000,351000,339000,157106,54427001500,24424950678000,70592343,STK
196170,KR7196170005,알테오젠,KOSDAQ GLOBAL,우량기업부,439500,2,-8500,-1.9,452500,452500,439500,336831,149358014750,23515793826000,53505788,KSQ
000810,KR7000810002,삼성화재,KOSPI,,497500,1,9500,1.95,493500,497500,490500,45124,22345145500,22890549612500,46011155,STK
006400,KR7006400006,삼성SDI,KOSPI,,282500,1,3000,1.07,282000,285000,277500,311296,87898197750,22765412225000,80585530,STK
010140,KR7010140002,삼성중공업,KOSPI,,24850,2,-550,-2.17,25700,25750,24650,3949474,98726550950,21868000000000,880000000,STK
316140,KR7316140003,우리금융지주,KOSPI,,28450,1,700,2.52,28100,28450,27950,1355729,38418035600,20884471304000,734076320,STK
064350,KR7064350002,현대로템,KOSPI,,183000,1,3700,2.06,182500,183800,177500,365888,66612888700,19973039619000,109142293,STK
011200,KR7011200003,HMM,KOSPI,,20550,3,0,0.0,20700,20800,20400,779923,16065464200,19383540283500,943237970,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,109700,1,100,0.09,110500,111300,109100,209822,23194658400,19221828498100,175221773,STK
009150,KR7009150004,삼성전기,KOSPI,,254500,1,1500,0.59,259500,260000,252500,416568,106117181000,19009545632000,74693696,STK
034730,KR7034730002,SK,KOSPI,,251000,1,1000,0.4,253000,253000,248000,121352,30353744750,18198178453000,72502703,STK
096770,KR7096770003,SK이노베이션,KOSPI,,106500,1,700,0.66,106200,106500,105300,160271,17000367300,18004121922000,169052788,STK
003670,KR7003670007,포스코퓨처엠,KOSPI,,196100,1,5000,2.62,192500,197200,190300,334746,65220084650,17442353742000,88946220,STK
298040,KR7298040007,효성중공업,KOSPI,,1850000,3,0,0.0,1889000,1916000,1834000,35781,66324657000,17250413800000,9324548,STK
033780,KR7033780008,KT&G,KOSPI,,144800,2,-1900,-1.3,148000,148000,144100,216068,31344545500,17083018196000,117976645,STK
024110,KR7024110009,기업은행,KOSPI,,21350,1,400,1.91,21050,21400,21000,1171733,24908083050,17025042303150,797425869,STK
0126Z0,KR70126Z0002,삼성에피스홀딩스,KOSPI,,663000,2,-10000,-1.49,686000,688000,650000,411969,273981691500,16497461487000,24883049,STK
247540,KR7247540008,에코프로비엠,KOSDAQ GLOBAL,우량기업부,158900,1,3900,2.52,156800,159900,153500,333968,52828819500,15540633561600,97801344,KSQ
267250,KR7267250009,HD현대,KOSPI,,195200,2,-3600,-1.81,198900,199500,192500,167054,32601946600,15419450192000,78993085,STK
