Code,Name,Close,MA1000,Ratio,Prev_Close,Prev_MA1000
003670,포스코퓨처엠,220500.0,211313.79,4.35,206000.0,211233.84
247540,에코프로비엠,173300.0,167871.42,3.23,159700.0,167823.34
008730,율촌화학,31250.0,30499.92,2.46,30100.0,30489.77
003800,에이스침대,31800.0,31416.7,1.22,30800.0,31432.05
009160,SIMPAC,5040.0,5032.96,0.14,5030.0,5035.06
011500,한농화성,15930.0,15567.13,2.33,15180.0,15569.9
267320,나인테크,3320.0,3294.81,0.76,3290.0,3294.64
099750,이지케어텍,22750.0,22372.44,1.69,21300.0,22381.54
140670,알에스오토메이션,13570.0,13384.21,1.39,13180.0,13383.68
250060,모비스,2885.0,2800.6,3.01,2705.0,2799.99
043710,서울리거,858.0,851.04,0.82,848.0,851.6
094940,푸른기술,8370.0,8162.12,2.55,7910.0,8164.85
043200,파루,845.0,844.35,0.08,839.0,844.58
009415,태영건설우,8420.0,6867.97,22.6,6480.0,6872.3
140660,위월드,1599.0,1565.41,2.15,1495.0,1565.51
